2021-06-26 16:17:25.605 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_YIYI-BAMS-BOOT/CN01L0201000968.ebaotech.com:yiyi-bams-boot:9020: registering service...
2021-06-26 16:17:55.648 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2021-06-26 16:17:55.648 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2021-06-26 16:17:55.648 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2021-06-26 16:17:55.648 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2021-06-26 16:17:55.648 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2021-06-26 16:17:55.648 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2021-06-26 16:17:55.648 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2021-06-26 16:17:59.738 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_YIYI-BAMS-BOOT/CN01L0201000968.ebaotech.com:yiyi-bams-boot:9020: registering service...
2021-06-26 16:18:29.759 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2021-06-26 16:18:29.759 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2021-06-26 16:18:29.760 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2021-06-26 16:18:29.760 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2021-06-26 16:18:29.760 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2021-06-26 16:18:29.760 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2021-06-26 16:18:29.760 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2021-06-26 16:18:33.799 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_YIYI-BAMS-BOOT/CN01L0201000968.ebaotech.com:yiyi-bams-boot:9020: registering service...
2021-06-26 16:19:03.832 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2021-06-26 16:19:03.832 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2021-06-26 16:19:03.832 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2021-06-26 16:19:03.832 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2021-06-26 16:19:03.832 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2021-06-26 16:19:03.833 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2021-06-26 16:19:03.833 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2021-06-26 16:19:07.896 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_YIYI-BAMS-BOOT/CN01L0201000968.ebaotech.com:yiyi-bams-boot:9020: registering service...
2021-06-26 16:19:55.110 [main] INFO  com.yiyi.BamsBootApplication - The following profiles are active: dev
2021-06-26 16:19:56.057 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-06-26 16:19:56.060 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-06-26 16:19:56.108 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15ms. Found 0 Redis repository interfaces.
2021-06-26 16:19:56.514 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=473788a6-7212-3c57-981c-0c4728d7df5e
2021-06-26 16:19:57.133 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9020 (http)
2021-06-26 16:19:57.146 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9020"]
2021-06-26 16:19:57.148 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-06-26 16:19:57.149 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2021-06-26 16:19:57.263 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-26 16:19:57.264 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2130 ms
2021-06-26 16:19:57.393 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-06-26 16:19:57.417 [main] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@414f87a9
2021-06-26 16:19:58.223 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-06-26 16:19:58.564 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-06-26 16:19:59.480 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-06-26 16:19:59.522 [main] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2021-06-26 16:19:59.612 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2021-06-26 16:19:59.841 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2021-06-26 16:19:59.841 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2021-06-26 16:19:59.983 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2021-06-26 16:19:59.983 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2021-06-26 16:20:00.390 [main] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-06-26 16:20:00.481 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2021-06-26 16:20:00.482 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2021-06-26 16:20:00.482 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2021-06-26 16:20:00.482 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2021-06-26 16:20:00.482 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2021-06-26 16:20:00.482 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2021-06-26 16:20:00.482 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2021-06-26 16:20:04.600 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
